RANK,Locality,INCIDENCE,rooftop_northeast_latitude,rooftop_northeast_longitude,rooftop_southwest_latitude,rooftop_southwest_longitude,points
257,ABOABO-MEMPEASEM,2,6.700688612,-1.59284585,6.688626337,-1.607437039,"6.70068861205821,-1.59284585047401,6.68862633743456,-1.60743703887929"
258,ABOABO-NEWMAN,2,6.700688612,-1.59284585,6.688626337,-1.607437039,"6.70068861205821,-1.59284585047401,6.68862633743456,-1.60743703887929"
259,AYIGYA MAXIMA,2,,,,,",,,"
260,SUSANSO,2,,,,,",,,"
261,ASOKWA PLT 14 BLK M,2,,,,,",,,"
262,ATONSU APRABO,2,6.664306496,-1.595141947,6.629461733,-1.620783682,"6.6643064962541,-1.59514194692848,6.62946173321423,-1.62078368216666"
263,ATONSU- APRABO,2,,,,,",,,"
264,ATONSU S-LINE,2,6.664306496,-1.595141947,6.629461733,-1.620783682,"6.6643064962541,-1.59514194692848,6.62946173321423,-1.62078368216666"
265,OLD AHINSAN,2,6.70398593,-1.62859302,6.70128797,-1.63129098,"6.7039859302915,-1.62859301970849,6.70128796970849,-1.6312909802915"
266,OLD ASOKWA,2,6.261465249,-1.482038454,6.236636853,-1.513881751,"6.26146524883536,-1.48203845371038,6.23663685339235,-1.51388175112073"
267,STADIUM YF,2,,,,,",,,"
268,AFRANCHO AKOM,2,7.427240819,-1.960802166,7.411154613,-1.976594831,"7.42724081917217,-1.9608021657776,7.41115461266143,-1.97659483142795"
269,AFRANCHO BUOHO,2,7.427240819,-1.960802166,7.411154613,-1.976594831,"7.42724081917217,-1.9608021657776,7.41115461266143,-1.97659483142795"
270,AFRANCHO-SHIMAN,2,7.427240819,-1.960802166,7.411154613,-1.976594831,"7.42724081917217,-1.9608021657776,7.41115461266143,-1.97659483142795"
271,BREMANG-ABUSUAKRUWA,2,6.73982583,-1.64275597,6.73712787,-1.64545393,"6.7398258302915,-1.64275596970849,6.73712786970849,-1.6454539302915"
272,KRONUM-ABOTANTIA,2,,,,,",,,"
273,KRONUMM-ANOMANGYE,2,,,,,",,,"
274,MAAKRO TARKWA,2,5.326687557,-1.9737625,5.286092565,-2.003717383,"5.32668755685289,-1.973762500407,5.28609256486669,-2.0037173829296"
275,SUAME-ZONGO,2,,,,,",,,"
276,ASUYEBOAH NEAR METHODIST CHURCH,2,,,,,",,,"
277,KWADASO ,2,,,,,",,,"
278,KWADASO AKYEREMADE,2,6.700795091,-1.644773498,6.684598324,-1.659793869,"6.70079509128745,-1.64477349835459,6.68459832377308,-1.65979386861926"
279,PANKRONO BONSUOM,2,6.776507651,-1.570272362,6.728882329,-1.610870403,"6.7765076506637,-1.5702723620814,6.7288823288288,-1.61087040259354"
280,PANKRONO-ATIMATIM,2,,,,,",,,"
281,SEPE AKOBAM,2,,,,,",,,"
282,SEPE ASOKORE MAMPONG,2,6.726783279,-1.552162185,6.708829336,-1.576345056,"6.72678327876893,-1.55216218525894,6.70882933581716,-1.57634505625433"
283,TAFO KOTWIMA,2,,,,,",,,"
284,SAWABA ADUKROM,2,6.69677748,-1.58145087,6.69407952,-1.58414883,"6.6967774802915,-1.58145086970849,6.69407951970849,-1.5841488302915"
285,ASHANTI NEW TOWN-Nananti,2,,,,,",,,"
286,KROFROM C.A.C.,2,,,,,",,,"
287,"DADWENE, OBUASE ROAD",2,4.89879608,-1.75448602,4.89609812,-1.75718398,"4.8987960802915,-1.75448601970849,4.89609811970849,-1.7571839802915"
288,SANATSI- OTENG NKWANTA,2,8.286239959,0.540389973,8.232302617,0.498332993,"8.28623995887805,0.540389972920671,8.23230261676447,0.498332992829531"
289,SANTASI STAR,2,6.700624773,-1.631548462,6.618484877,-1.697087276,"6.70062477331705,-1.63154846212246,6.61848487664691,-1.6970872756933"
290,KUMASI ACADEMY,2,6.71018298,-1.57010037,6.70748502,-1.57279833,"6.7101829802915,-1.57010036970849,6.70748501970849,-1.5727983302915"
291,ANOO,1,,,,,",,,"
292,BANTAMA PLOT 1 BLOCK D SUNTRESO EXTENSION,1,6.70459778,-1.63748082,6.70189982,-1.64017878,"6.7045977802915,-1.63748081970849,6.70189981970849,-1.6401787802915"
293,CAMBRAIGE,1,52.23785504,0.2134293,52.133797,0.048046991,"52.2378550364536,0.2134293,52.1337969999999,0.0480469913269958"
294,COMPLEX ,1,,,,,",,,"
295,HIGHWAYS,1,,,,,",,,"
296,KATH- SMS,1,,,,,",,,"
297,PLT 16 BLK N,1,-35.34314707,149.0880442,-35.34584503,149.0853462,"-35.3431470697085,149.088044180291,-35.3458450302915,149.085346219708"
298,PLT 82B BLK B,1,,,,,",,,"
299,RACE  COUSE,1,11.01000605,76.98312799,10.99554897,76.97349592,"11.0100060542429,76.9831279871097,10.9955489727845,76.9734959170753"
300,SOUTH PATASI,1,6.68176399,-1.638657976,6.67234398,-1.64421562,"6.68176399047389,-1.63865797553111,6.67234397955534,-1.64421562014536"
301,APENANIM KOKOBEN,1,6.61795803,-1.71624452,6.61526007,-1.71894248,"6.6179580302915,-1.71624451970849,6.61526006970849,-1.7189424802915"
302,APETIA,1,48.85621338,2.40495338,48.85351542,2.40225542,"48.8562133802914,2.4049533802915,48.8535154197084,2.40225541970849"
303,APPIAHDU AWIAMASO NEW SITE,1,,,,,",,,"
304,DONKORKROM,1,7.055493578,-0.068921939,7.031812654,-0.096130335,"7.05549357790716,-0.0689219392117204,7.03181265356773,-0.0961303350768229"
305,DUASE ,1,,,,,",,,"
306,PAAKOSO NEWSITE,1,,,,,",,,"
307,TECH / ECUATORIAL GUINEA,1,3.835500009,11.33330002,-1.547500023,5.541900068,"3.83550000893667,11.333300022098,-1.54750002312839,5.54190006845903"
308,AHINSAN  ESTATE,1,6.70398593,-1.62859302,6.70128797,-1.63129098,"6.7039859302915,-1.62859301970849,6.70128796970849,-1.6312909802915"
309,AMAKOM ST PAUL,1,6.689798463,-1.593725705,6.668763458,-1.60889637,"6.68979846259498,-1.59372570538398,6.66876345764844,-1.60889637013146"
310,AMPAME NO.1,1,-34.59985327,-58.38816047,-34.60255123,-58.39085843,"-34.5998532697085,-58.3881604697085,-34.6025512302915,-58.3908584302915"
311,ATONSU -ADAGYA,1,6.664306496,-1.595141947,6.629461733,-1.620783682,"6.6643064962541,-1.59514194692848,6.62946173321423,-1.62078368216666"
312,ATONSU HIGH SCHOOL,1,6.664306496,-1.595141947,6.629461733,-1.620783682,"6.6643064962541,-1.59514194692848,6.62946173321423,-1.62078368216666"
313,ATONSU MONACO,1,6.65472298,-1.58959552,6.65202502,-1.59229348,"6.6547229802915,-1.58959551970849,6.65202501970849,-1.5922934802915"
314,KAASE ESTATE,1,33.99148388,-83.77253952,33.98878592,-83.77523748,"33.9914838802915,-83.7725395197084,33.9887859197085,-83.7752374802915"
315,MAXIMA JUNCTION,1,,,,,",,,"
316,MAXIMA TECH,1,-16.69954132,-49.25217857,-16.70223928,-49.25487653,"-16.6995413197084,-49.2521785697085,-16.7022392802915,-49.2548765302915"
317,SOKOBAN NEW-SITE,1,,,,,",,,"
318,SOKOBAN-KROFROM,1,,,,,",,,"
319,AFRANCHO NEW SITE,1,,,,,",,,"
320,AFRANCHO-KROBO,1,7.427240819,-1.960802166,7.411154613,-1.976594831,"7.42724081917217,-1.9608021657776,7.41115461266143,-1.97659483142795"
321,ANOMAGYE MPATASIE,1,6.72919673,-1.63995887,6.72649877,-1.64265683,"6.7291967302915,-1.63995886970849,6.72649876970849,-1.6426568302915"
322,BREMAN EAST,1,,,,,",,,"
323,BREMAN-ASIKUMA,1,,,,,",,,"
324,BREMANG BAIDUKROM,1,6.781003491,-1.594262063,6.711706276,-1.64546015,"6.78100349090459,-1.59426206309651,6.71170627561311,-1.64546015036424"
325,HEMANG MAMPONGTENG,1,,,,,",,,"
326,KRUNUM- ABUOHIA,1,6.751960478,-1.641082745,6.745333348,-1.655416495,"6.7519604776442,-1.64108274537295,6.74533334835861,-1.65541649548267"
327,MAGAZINE,1,,,,,",,,"
328,NPATUA,1,,,,,",,,"
329,SUAME CLUB 600,1,6.738343744,-1.628165147,6.70940463,-1.666531616,"6.73834374355006,-1.62816514689566,6.70940463045805,-1.66653161624298"
330,SUAME-ABOAHIA,1,,,,,",,,"
331,ASUYEBOAH- KSI,1,,,,,",,,"
332,ASUYEBOAH NAR PALACE,1,,,,,",,,"
333,KWADASO AFASEBON,1,6.700795091,-1.644773498,6.684598324,-1.659793869,"6.70079509128745,-1.64477349835459,6.68459832377308,-1.65979386861926"
334,KWADASO COMPLEX,1,7.012079118,-1.416127554,7.001984315,-1.429903464,"7.01207911810028,-1.41612755420184,7.00198431454386,-1.42990346358289"
335,POLICE DEPOT,1,,,,,",,,"
336,AHWIAA NKWANTA,1,8.286239959,0.540389973,8.232302617,0.498332993,"8.28623995887805,0.540389972920671,8.23230261676447,0.498332992829531"
337,AHWIAA ZONGO,1,,,,,",,,"
338,PANKRONO ABED,1,6.776507651,-1.570272362,6.728882329,-1.610870403,"6.7765076506637,-1.5702723620814,6.7288823288288,-1.61087040259354"
339,TAFO AHENBRONUM,1,6.73363408,-1.61531007,6.73093612,-1.61800803,"6.7336340802915,-1.61531006970849,6.73093611970849,-1.6180080302915"
340,TAFO ANYAANO,1,6.783838832,-1.561260243,6.686686959,-1.645502974,"6.78383883161048,-1.56126024277723,6.68668695946999,-1.64550297386536"
341,AFORDABLE HSE AKOMA BLK,1,,,,,",,,"
342,F-LINE,1,40.72477118,-73.84703492,40.72207322,-73.84973288,"40.7247711802915,-73.8470349197084,40.7220732197085,-73.8497328802915"
343,ASHANTI NEW TOWN TOWN-CPC,1,,,,,",,,"
344,ASHANTI NEW TOWN TOWN-DR. MENSAH,1,,,,,",,,"
345,ASHANTI NEW TOWN-CHILDREN HOME ,1,,,,,",,,"
346,KROFROM-AMPABAME,1,6.71482703,-1.61652347,6.71212907,-1.61922143,"6.7148270302915,-1.61652346970849,6.71212906970849,-1.6192214302915"
347,MANHYIA - ATWIMA,1,6.710321108,-1.608102371,6.699878817,-1.619560743,"6.71032110812737,-1.6081023705504,6.69987881710451,-1.6195607430502"
348,MANHYIA AHENBOBOANO,1,6.710321108,-1.608102371,6.699878817,-1.619560743,"6.71032110812737,-1.6081023705504,6.69987881710451,-1.6195607430502"
349,MANHYIA ZONGO,1,6.70211948,-1.61177802,6.69942152,-1.61447598,"6.7021194802915,-1.61177801970849,6.69942151970849,-1.6144759802915"
350,MANHYIA-EXTENSION,1,,,,,",,,"
351,MOFRATUO,1,,,,,",,,"
352,AHODWO KROFROM,1,6.660802344,-1.608729959,6.647178843,-1.635315732,"6.66080234389999,-1.60872995916336,6.64717884319906,-1.63531573191966"
353,ANYINAM - NEWSITE,1,6.388062663,-0.521593041,6.358037024,-0.558414429,"6.38806266315683,-0.521593041490413,6.35803702399777,-0.558414429295561"
354,ATASOMANSO ADIEMMRA,1,6.650775455,-1.619603541,6.631571852,-1.637434975,"6.65077545513247,-1.61960354089154,6.63157185245501,-1.63743497476127"
355,ATASOMANSO- PARAKUO,1,6.650775455,-1.619603541,6.631571852,-1.637434975,"6.65077545513247,-1.61960354089154,6.63157185245501,-1.63743497476127"
356,BROFOYEDRU NEW SITE,1,6.303611037,-1.520061567,6.293544095,-1.527528766,"6.30361103702926,-1.5200615672345,6.29354409453219,-1.52752876607488"
357,DAAKO - SANTASI,1,6.700624773,-1.631548462,6.618484877,-1.697087276,"6.70062477331705,-1.63154846212246,6.61848487664691,-1.6970872756933"
358,DABAN APRAMAN,1,,,,,",,,"
359,DABAN ESTATE,1,,,,,",,,"
360,OFFICERS MESS,1,,,,,",,,"
361,SANTANSI DARKO,1,47.08034266,5.692345371,47.00721477,5.6451364,"47.0803426602253,5.69234537130759,47.0072147708939,5.64513639997534"
362,SANTASI - APATIA,1,6.700624773,-1.631548462,6.618484877,-1.697087276,"6.70062477331705,-1.63154846212246,6.61848487664691,-1.6970872756933"
363,SANTASI - KOKOBEN,1,6.63074078,-1.64945512,6.62804282,-1.65215308,"6.6307407802915,-1.64945511970849,6.62804281970849,-1.6521530802915"
364,SANTASI AMPABAME,1,6.773716173,-1.624195596,6.698536235,-1.691036158,"6.77371617348981,-1.62419559590683,6.69853623549823,-1.6910361584336"
365,CENTRAL,1,,,,,",,,"
366,KUMASI-37 BAN LINE,1,6.795961266,-1.499633753,6.584209681,-1.732578282,"6.79596126605938,-1.49963375291665,6.58420968065713,-1.73257828162069"
367,POLICE QUATERS,1,13.066846,80.27843105,13.05820103,80.27367308,"13.0668459953033,80.2784310455803,13.0582010310484,80.2736730799618"
